term	estimate	std.error	statistic	p.value
(Intercept)	-1.7537019779850223	0.21736563088002417	-8.067981910870651	7.146963244300438e-16
ffpeFFPE	0.6399523492652107	0.20888642175592706	3.063637855853368	0.002186634330411519
groupFL	-0.7107720306821335	0.4760654417010014	-1.493013288556539	0.13543370848357827
groupHGBCL-DH-BCL2	0.931690516298404	0.2514674885332883	3.7050138041008447	2.1137922067603908e-4
groupGCB-DLBCL	0.8263231066917273	0.26316370731094585	3.1399584507120895	0.0016897179801463095
groupABC-DLBCL	-0.37369046303748543	0.376085295491828	-0.9936322092805816	0.3204019572769577
