sample	file
CCS_1342	/CCS_1342.capture_S318.hg38.cram
DLC_0166	/DLC_0166.capture_S072.hg38.cram
CCS_0465	/CCS_0465.capture_S072.hg38.cram
CCS_0093	/CCS_0093.capture_S318.hg38.cram
CCS_1304	/CCS_1304.capture_S318.hg38.cram
CCS_1095	/CCS_1095.capture_TE99028370.hg38.cram
CCS_0099	/CCS_0099.capture_S318.hg38.cram
CCS_0764	/CCS_0764.capture_TE99028370.hg38.cram
CCS_1345	/CCS_1345.capture_S318.hg38.cram
CLC01963	/CLC01963.capture_TE99028370.hg38.cram
CCS_1115	/CCS_1115.capture_S318.hg38.cram
CCS_1048	/CCS_1048.capture_TE99028370.hg38.cram
CCS_0898	/CCS_0898.capture_TE99028370.hg38.cram
DLC_0172	/DLC_0172.capture_S072.hg38.cram
CCS_0655	/CCS_0655.capture_S318.hg38.cram
CCS_1052	/CCS_1052.capture_S318.hg38.cram
CCS_1493	/CCS_1493.capture_S072.hg38.cram
CCS_0656	/CCS_0656.capture_S318.hg38.cram
CLC00813	/CLC00813.capture_S318.hg38.cram
CLC00522	/CLC00522.capture_TE99028370.hg38.cram
CCS_0120	/CCS_0120.capture_S072.hg38.cram
CCS_0126	/CCS_0126.capture_S318.hg38.cram
CCS_0128	/CCS_0128.capture_S318.hg38.cram
CCS_0397	/CCS_0397.capture_S318.hg38.cram
CCS_0138	/CCS_0138.capture_S318.hg38.cram
CCS_0142	/CCS_0142.capture_S318.hg38.cram
CCS_0149	/CCS_0149.capture_S318.hg38.cram
CCS_0171	/CCS_0171.capture_S318.hg38.cram
CLC02049	/CLC02049.capture_TE99028370.hg38.cram
DLC_0224	/DLC_0224.capture_S072.hg38.cram
CCS_0190	/CCS_0190.capture_S318.hg38.cram
CCS_0194	/CCS_0194.capture_S318.hg38.cram
CCS_0195	/CCS_0195.capture_S072.hg38.cram
CCS_0198	/CCS_0198.capture_S318.hg38.cram
CCS_0200	/CCS_0200.capture_S318.hg38.cram
CCS_0212	/CCS_0212.capture_S318.hg38.cram
CCS_0235	/CCS_0235.capture_S318.hg38.cram
CCS_0260	/CCS_0260.capture_S318.hg38.cram
CCS_0265	/CCS_0265.capture_S318.hg38.cram
CCS_0277	/CCS_0277.capture_S318.hg38.cram
CCS_0285	/CCS_0285.capture_S318.hg38.cram
DLC_0362	/DLC_0362.capture_S072.hg38.cram
DLC_0341	/DLC_0341.capture_S072.hg38.cram
GE0429	/GE0429.capture_S072.hg38.cram
DLC_0039	/DLC_0039.capture_S072.hg38.cram
DLC_0208	/DLC_0208.capture_S072.hg38.cram
