sample_id	num_csr_events	CSR_event
SPECS_4894	0	No CSR
SPECS_4899	0	No CSR
SPECS_4902	0	No CSR
SPECS_4904	0	No CSR
SPECS_4908	0	No CSR
SPECS_5000	0	No CSR
SPECS_5001	0	No CSR
SPECS_5012	0	No CSR
SPECS_5013	0	No CSR
SPECS_5074	0	No CSR
SPECS_5077	0	No CSR
SPECS_5078	0	No CSR
SPECS_5084	0	No CSR
SPECS_5085	0	No CSR
SPECS_5089	0	No CSR
SPECS_5090	0	No CSR
SPECS_5197	0	No CSR
SPECS_5198	0	No CSR
SPECS_5225	0	No CSR
SPECS_5296	0	No CSR
SPECS_5305	0	No CSR
SPECS_5320	0	No CSR
SPECS_5321	0	No CSR
SPECS_5322	0	No CSR
SPECS_5323	0	No CSR
SPECS_5326	0	No CSR
SPECS_5331	0	No CSR
SPECS_5335	0	No CSR
SPECS_5336	0	No CSR
SPECS_5337	0	No CSR
SPECS_5338	0	No CSR
SPECS_5340	0	No CSR
SPECS_5344	0	No CSR
SPECS_5345	0	No CSR
SPECS_5357	0	No CSR
SPECS_5359	0	No CSR
SPECS_5514	0	No CSR
SPECS_5556	0	No CSR
SPECS_5557	0	No CSR
SPECS_5562	0	No CSR
SPECS_5676	0	No CSR
SPECS_5820	0	No CSR
EX00542	0	No CSR
EX00543	0	No CSR
EX00545	0	No CSR
EX00546	0	No CSR
EX00547	0	No CSR
EX00549	0	No CSR
EX00550	0	No CSR
EX00551	0	No CSR
