sample_id	TSS	exon1
CLC02001	66	15
CLC02008	5	1
CLC02009	94	16
CLC02021	42	9
CLC02026	90	11
CLC02030	18	3
CLC02033	56	10
CLC02034	47	12
CLC02037	30	5
CLC02040	62	16
CLC02049	40	2
CLC02051	26	6
CLC02057	24	4
CLC02058	56	14
CLC02059	60	16
CLC02061	19	5
CLC02065	64	14
CLC02067	70	22
CLC02068	24	3
CLC02069	50	15
CLC02070	31	4
CLC02071	23	3
CLC02075	33	6
CLC02076	57	11
CLC02080	29	8
CLC02081	125	26
CLC02085	20	6
CLC02133	23	4
DLC_0013	6	0
DLC_0126	22	2
DLC_0163	56	11
DLC_0166	15	1
DLC_0171	74	13
DLC_0204	46	18
DLC_0208	51	8
DLC_0224	36	6
DLC_0294	47	9
DLC_0309	20	1
DLC_0341	33	2
DLC_0353	62	15
DLC_0357	28	8
DLC_0363	38	15
EX00540	45	7
EX00541	2	2
EX00542	26	9
EX00543	12	6
EX00548	1	0
EX00549	39	7
EX00550	11	1
EX00552	29	8
FL1002T1	41	5
FL1003T1	21	2
FL1004T1	51	13
FL1006T1	15	5
FL1008T1	6	2
FL1009T1	18	6
FL1010T1	20	1
FL1011T1	4	1
FL1011T2	14	1
FL1015T1	8	1
FL1016T1	13	1
FL1017T1	36	11
FL1017T2	34	7
FL1018T1	46	8
FL1018T2	54	11
FL1019T1	105	18
FL1019T2	71	11
FL1020T1	43	9
FL1106T1	39	7
FL1107T1	34	9
FL1107T2	5	2
FL1109T2	10	2
FL1111T2	50	6
FL1118T1	33	10
FL1123T2	23	5
FL1124T2	19	1
FL1129T2	35	7
FL1133T2	45	11
FL1139T2	62	16
FL1140T1	20	2
FL1142T2	65	15
FL1143T1	26	1
FL1147T2	58	15
FL1171T1	37	4
FL1176T2	47	12
FL1199T2	56	13
FL1207T2	24	5
FL1209T1	22	4
FL1219T3	32	6
FL1222T2	29	6
FL1236T2	48	7
FL1238T1	26	2
FL1240T2	24	3
FL1241T2	24	4
FL1250T2	6	0
FL2001T1	9	3
FL2004T1	4	0
FL2005T1	19	1
FL2006T1	16	2
FL2007T1	7	0
FL2102T1	37	8
FL2107T1	21	4
FL3001T1	37	8
FL3002T1	9	5
FL3003T1	35	9
FL3004T1	19	3
FL3005T1	9	1
FL3006T1	15	1
FL3007T1	6	0
FL3008T1	21	5
FL3009T1	27	6
FL3010T1	19	3
FL3011T1	50	8
FL3012T1	8	0
FL3013T1	32	2
FL3014T1	27	1
FL3015T1	22	4
FL3016T1	42	12
FL3017T1	14	2
FL3018T1	6	1
FL3019T1	26	6
FL3020T1	42	13
FL3120T1	37	2
GE0030	29	7
GE0080	19	1
GE0142	16	3
GE0287	83	20
GE0429	74	27
GE0586	43	13
LYPET_017_DNA	2	1
LY_RELY_109_tumorB	6	5
LY_RELY_116_tumorA	43	7
LY_RELY_128_tumorA	44	11
PBL22	1	0
SPECS_4150	1	0
SPECS_4830	50	7
SPECS_4831	75	22
SPECS_4833	59	12
SPECS_4836	12	1
SPECS_4837	1	0
SPECS_4841	20	2
SPECS_4842	19	3
SPECS_4844	35	9
SPECS_4848	9	1
SPECS_4896	47	12
SPECS_4899	87	26
